client_id,instrument_type,principal_amount,annual_interest_rate,start_date,tenure_years
CLIENT_002,Recurring Deposit,3945.72,0.065,2023-07-28,3
CLIENT_003,PPF,139807.77,0.071,2023-06-09,15
CLIENT_003,Recurring Deposit,7493.44,0.065,2025-05-18,2
CLIENT_004,Fixed Deposit,197717.88,0.07,2025-08-17,4
CLIENT_004,Recurring Deposit,8320.63,0.065,2024-08-03,2
CLIENT_005,Sovereign Gold Bond,472656.71,0.025,2025-05-15,8
CLIENT_005,NSC,444667.29,0.077,2024-07-21,5
CLIENT_005,Corporate Bond,311265.38,0.078,2024-07-12,5
CLIENT_008,PPF,322793.98,0.071,2023-02-24,15
CLIENT_008,Corporate Bond,223337.95,0.078,2022-10-14,4
CLIENT_008,NSC,135535.45,0.077,2025-10-08,5
CLIENT_008,Recurring Deposit,9849.04,0.065,2024-07-23,3
CLIENT_009,Sovereign Gold Bond,213899.66,0.025,2025-08-16,8
CLIENT_009,Recurring Deposit,18573.88,0.065,2024-04-08,3
CLIENT_010,Sovereign Gold Bond,373889.42,0.025,2024-05-01,8
CLIENT_010,Fixed Deposit,189178.1,0.07,2023-09-23,5
